#{"t_start": 1642220075.900665, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
50.0,50,1.889354,0.0
50.0,50,3.007463,0.0
50.0,50,4.125817,0.0
50.0,50,5.244179,0.0
50.0,50,6.376289,0.0
50.0,50,7.494705,0.0
50.0,50,8.744519,0.0
50.0,50,9.86297,0.0
50.0,50,10.98124,0.0
50.0,50,12.099497,0.0
50.0,50,13.231827,0.0
50.0,50,14.350349,0.0
50.0,50,15.46937,0.0
50.0,50,16.587638,0.0
50.0,50,17.719479,0.0
50.0,50,18.837689,0.0
50.0,50,19.955914,0.0
50.0,50,21.074566,0.0
50.0,50,22.206798,0.0
50.0,50,23.325184,0.0
50.0,50,24.443511,0.0
50.0,50,25.56236,0.0
50.0,50,26.694421,0.0
50.0,50,27.81253,0.0
50.0,50,28.930891,0.0
50.0,50,30.063128,0.0
50.0,50,31.181243,0.0
50.0,50,32.299541,0.0
50.0,50,33.418376,0.0
50.0,50,34.550609,0.0
50.0,50,35.668464,0.0
50.0,50,36.786737,0.0
50.0,50,37.90547,0.0
50.0,50,39.037202,0.0
50.0,50,40.156578,0.0
50.0,50,41.274745,0.0
50.0,50,42.393053,0.0
50.0,50,43.52552,0.0
50.0,50,44.643279,0.0
50.0,50,45.76131,0.0
50.0,50,46.879647,0.0
50.0,50,48.011875,0.0
50.0,50,49.130275,0.0
50.0,50,50.249328,0.0
50.0,50,51.367778,0.0
50.0,50,52.499701,0.0
50.0,50,53.61779,0.0
50.0,50,54.736134,0.0
50.0,50,55.868406,0.0
50.0,50,56.986671,0.0
50.0,50,58.104955,0.0
50.0,50,59.223352,0.0
50.0,50,60.355363,0.0
50.0,50,61.474223,0.0
50.0,50,62.592736,0.0
50.0,50,63.710729,0.0
50.0,50,64.842744,0.0
50.0,50,65.961366,0.0
50.0,50,67.079658,0.0
50.0,50,68.198015,0.0
50.0,50,69.330413,0.0
50.0,50,70.448355,0.0
50.0,50,71.567248,0.0
50.0,50,72.685802,0.0
50.0,50,73.817326,0.0
50.0,50,74.936011,0.0
50.0,50,76.054339,0.0
50.0,50,77.186552,0.0
50.0,50,78.305296,0.0
50.0,50,79.423125,0.0
50.0,50,80.541826,0.0
50.0,50,81.673879,0.0
50.0,50,82.792301,0.0
50.0,50,83.910329,0.0
50.0,50,85.02907,0.0
50.0,50,86.152473,0.0
34.0,34,87.079954,0.0
50.0,50,88.198041,0.0
50.0,50,89.330331,0.0
50.0,50,90.44864,0.0
50.0,50,91.566972,0.0
50.0,50,92.685164,0.0
50.0,50,93.817399,0.0
50.0,50,94.935698,0.0
50.0,50,96.054428,0.0
50.0,50,97.173126,0.0
50.0,50,98.304563,0.0
50.0,50,99.423228,0.0
50.0,50,100.541534,0.0
50.0,50,101.659844,0.0
50.0,50,102.7921,0.0
50.0,50,103.910436,0.0
50.0,50,105.02897,0.0
50.0,50,106.147398,0.0
50.0,50,107.279588,0.0
50.0,50,108.397771,0.0
50.0,50,109.516317,0.0
50.0,50,110.634786,0.0
50.0,50,111.766872,0.0
50.0,50,112.885157,0.0
50.0,50,114.003461,0.0
50.0,50,115.135953,0.0
50.0,50,116.253958,0.0
50.0,50,117.37279,0.0
50.0,50,118.491019,0.0
50.0,50,119.622813,0.0
50.0,50,120.741067,0.0
50.0,50,121.859882,0.0
50.0,50,122.978134,0.0
50.0,50,124.110278,0.0
50.0,50,125.228652,0.0
50.0,50,126.347331,0.0
50.0,50,127.46568,0.0
50.0,50,128.597786,0.0
50.0,50,129.715919,0.0
50.0,50,130.834193,0.0
50.0,50,131.952858,0.0
50.0,50,133.084619,0.0
50.0,50,134.203437,0.0
50.0,50,135.321782,0.0
50.0,50,136.453892,0.0
50.0,50,137.572686,0.0
50.0,50,138.690967,0.0
50.0,50,139.808901,0.0
50.0,50,140.941081,0.0
50.0,50,142.059242,0.0
50.0,50,143.177608,0.0
50.0,50,144.296212,0.0
50.0,50,145.428394,0.0
50.0,50,146.546911,0.0
50.0,50,147.665473,0.0
50.0,50,148.783933,0.0
50.0,50,149.916249,0.0
50.0,50,151.03417,0.0
50.0,50,152.152735,0.0
50.0,50,153.270699,0.0
50.0,50,154.403129,0.0
50.0,50,155.521203,0.0
50.0,50,156.639904,0.0
50.0,50,157.758193,0.0
50.0,50,158.890249,0.0
57.0,50,160.009123,0.0
50.0,50,161.133618,0.0
50.0,50,162.259223,0.0
50.0,50,163.377586,0.0
50.0,50,164.495723,0.0
50.0,50,165.614125,0.0
50.0,50,166.746326,0.0
50.0,50,167.864585,0.0
50.0,50,168.983751,0.0
50.0,50,170.105308,0.0
50.0,50,171.234246,0.0
50.0,50,172.352188,0.0
63.0,50,173.470661,0.0
50.0,50,174.58893,0.0
50.0,50,175.721151,0.0
50.0,50,176.839424,0.0
50.0,50,177.957617,0.0
50.0,50,179.076909,0.0
50.0,50,180.208714,0.0
50.0,50,181.327116,0.0
50.0,50,182.445225,0.0
50.0,50,183.577875,0.0
50.0,50,184.695709,0.0
50.0,50,185.814108,0.0
50.0,50,186.932631,0.0
50.0,50,188.064584,0.0
66.0,50,189.182295,0.0
50.0,50,190.301718,0.0
50.0,50,191.420452,0.0
50.0,50,192.551926,0.0
50.0,50,193.670391,0.0
50.0,50,194.788847,0.0
50.0,50,195.907244,0.0
65.0,50,197.039253,0.0
50.0,50,198.156493,0.0
50.0,50,199.27628,0.0
50.0,50,200.394762,0.0
63.0,50,201.526851,0.0
50.0,50,202.644844,0.0
66.0,50,203.76357,0.0
50.0,50,204.881778,0.0
50.0,50,206.014305,0.0
60.0,50,207.132211,0.0
50.0,50,208.250649,0.0
50.0,50,209.370083,0.0
50.0,50,210.501443,0.0
64.0,50,211.619877,0.0
50.0,50,212.737871,0.0
65.0,50,213.870087,0.0
50.0,50,214.988249,0.0
50.0,50,216.106884,0.0
63.0,50,217.225424,0.0
50.0,50,218.357913,0.0
50.0,50,219.475768,0.0
50.0,50,220.59452,0.0
50.0,50,221.712932,0.0
50.0,50,222.84472,0.0
50.0,50,223.963269,0.0
50.0,50,225.081566,0.0
67.0,50,231.397414,0.0
64.0,50,232.336581,0.0
50.0,50,233.454707,0.0
50.0,50,234.573075,0.0
50.0,50,235.69154,0.0
50.0,50,236.823653,0.0
50.0,50,237.941549,0.0
65.0,50,239.059941,0.0
50.0,50,240.178695,0.0
50.0,50,241.310337,0.0
65.0,50,242.429239,0.0
66.0,50,243.547873,0.0
50.0,50,244.67982,0.0
8.0,8,245.080235,0.0
50.0,50,246.199013,0.0
66.0,50,247.317758,0.0
50.0,50,248.449731,0.0
50.0,50,249.568415,0.0
50.0,50,250.686685,0.0
63.0,50,251.804592,0.0
50.0,50,252.936957,0.0
65.0,50,254.055001,0.0
50.0,50,255.173548,0.0
50.0,50,256.292093,0.0
63.0,50,257.42403,0.0
63.0,50,258.542662,0.0
64.0,50,259.661133,0.0
50.0,50,260.779398,0.0
65.0,50,261.911468,0.0
50.0,50,263.029709,0.0
50.0,50,264.148528,0.0
50.0,50,265.266864,0.0
66.0,50,266.398706,0.0
62.0,50,267.517175,0.0
50.0,50,268.635536,0.0
63.0,50,269.754102,0.0
63.0,50,270.886139,0.0
50.0,50,272.005836,0.0
50.0,50,273.122809,0.0
66.0,50,274.25508,0.0
50.0,50,275.373228,0.0
64.0,50,276.492079,0.0
50.0,50,277.610303,0.0
50.0,50,278.742198,0.0
50.0,50,279.861021,0.0
61.0,50,280.979472,0.0
58.0,42,282.062958,0.0
66.0,50,283.181603,0.0
66.0,50,284.313601,0.0
50.0,50,285.432145,0.0
65.0,50,286.550722,0.0
50.0,50,287.668886,0.0
66.0,50,288.80105,0.0
50.0,50,289.919347,0.0
50.0,50,291.038055,0.0
65.0,50,292.156536,0.0
50.0,50,293.288824,0.0
66.0,50,294.406743,0.0
66.0,50,295.525276,0.0
67.0,50,296.643567,0.0
50.0,50,297.776074,0.0
65.0,50,298.894114,0.0
65.0,50,300.012362,0.0
62.0,50,301.14472,0.0
65.0,50,302.263583,0.0
50.0,50,303.381745,0.0
63.0,50,304.49994,0.0
68.0,50,305.631798,0.0
67.0,50,306.750384,0.0
66.0,50,307.868807,0.0
66.0,50,308.987255,0.0
65.0,50,310.11924,0.0
50.0,50,311.237524,0.0
64.0,50,312.355839,0.0
66.0,50,313.474656,0.0
62.0,50,314.60707,0.0
63.0,50,315.725229,0.0
64.0,50,316.84303,0.0
64.0,50,317.961799,0.0
66.0,50,319.093547,0.0
60.0,50,320.212279,0.0
61.0,50,321.330725,0.0
65.0,50,322.462724,0.0
50.0,50,323.582078,0.0
50.0,50,324.699888,0.0
65.0,50,325.81817,0.0
60.0,50,326.950127,0.0
63.0,50,328.068244,0.0
68.0,50,329.186852,0.0
65.0,50,330.305529,0.0
63.0,50,331.437318,0.0
59.0,50,332.555795,0.0
65.0,50,333.674525,0.0
62.0,50,334.792953,0.0
56.0,50,335.925299,0.0
65.0,50,337.042997,0.0
67.0,50,338.161303,0.0
63.0,50,339.279918,0.0
66.0,50,340.41192,0.0
64.0,50,341.530308,0.0
66.0,50,342.64891,0.0
67.0,50,343.767685,0.0
67.0,50,344.899694,0.0
64.0,50,346.021294,0.0
64.0,50,347.136054,0.0
68.0,50,348.268189,0.0
65.0,50,349.386621,0.0
61.0,50,350.505294,0.0
68.0,50,351.623893,0.0
63.0,50,352.755393,0.0
65.0,50,353.874354,0.0
63.0,50,354.99273,0.0
66.0,50,356.111225,0.0
50.0,50,357.243375,0.0
67.0,50,358.361166,0.0
63.0,50,359.479447,0.0
66.0,50,360.598003,0.0
65.0,50,361.730249,0.0
62.0,50,362.848353,0.0
64.0,50,363.966918,0.0
65.0,50,365.085349,0.0
66.0,50,366.218069,0.0
66.0,50,367.33592,0.0
67.0,50,368.45461,0.0
66.0,50,369.586447,0.0
