#{"t_start": 1642221014.8877358, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
50.0,50,1.90446,0.0
50.0,50,3.022685,0.0
50.0,50,4.141224,0.0
20.0,20,4.790445,0.0
50.0,50,5.908854,0.0
50.0,50,7.027322,0.0
50.0,50,8.159427,0.0
50.0,50,9.277758,0.0
50.0,50,10.396688,0.0
24.0,24,11.12856,0.0
50.0,50,12.246866,0.0
50.0,50,13.365223,0.0
50.0,50,14.48359,0.0
50.0,50,15.615798,0.0
50.0,50,16.73421,0.0
50.0,50,17.852771,0.0
50.0,50,18.97135,0.0
50.0,50,20.10307,0.0
50.0,50,21.2215,0.0
50.0,50,22.340019,0.0
50.0,50,23.458554,0.0
50.0,50,24.590486,0.0
50.0,50,25.70875,0.0
50.0,50,26.827565,0.0
50.0,50,27.945819,0.0
50.0,50,29.077652,0.0
50.0,50,30.196027,0.0
50.0,50,31.314345,0.0
50.0,50,32.432968,0.0
50.0,50,33.565245,0.0
50.0,50,34.683531,0.0
50.0,50,35.802125,0.0
50.0,50,36.934484,0.0
50.0,50,38.052305,0.0
50.0,50,39.170655,0.0
50.0,50,40.288913,0.0
50.0,50,41.421243,0.0
50.0,50,42.539552,0.0
50.0,50,43.657771,0.0
50.0,50,44.776675,0.0
50.0,50,45.908358,0.0
50.0,50,47.027383,0.0
50.0,50,48.151023,0.0
50.0,50,49.263721,0.0
50.0,50,50.396114,0.0
50.0,50,51.514152,0.0
50.0,50,52.632427,0.0
50.0,50,53.750912,0.0
50.0,50,54.883332,0.0
50.0,50,56.001425,0.0
50.0,50,57.120494,0.0
50.0,50,58.252595,0.0
50.0,50,59.370654,0.0
50.0,50,60.489074,0.0
50.0,50,61.607324,0.0
50.0,50,62.739425,0.0
13.0,13,63.24039,0.0
50.0,50,64.35922,0.0
50.0,50,65.47731,0.0
50.0,50,66.609368,0.0
50.0,50,67.727637,0.0
50.0,50,68.846217,0.0
50.0,50,69.964448,0.0
50.0,50,71.096548,0.0
50.0,50,72.215086,0.0
50.0,50,73.333991,0.0
50.0,50,74.452441,0.0
50.0,50,75.584089,0.0
50.0,50,76.702437,0.0
50.0,50,77.820877,0.0
50.0,50,78.939202,0.0
50.0,50,80.071634,0.0
50.0,50,81.189829,0.0
50.0,50,82.308244,0.0
50.0,50,83.426999,0.0
50.0,50,84.55869,0.0
50.0,50,85.677066,0.0
50.0,50,86.795524,0.0
50.0,50,87.927513,0.0
50.0,50,89.04586,0.0
50.0,50,90.164701,0.0
50.0,50,91.283039,0.0
50.0,50,92.414828,0.0
50.0,50,93.533398,0.0
50.0,50,94.651431,0.0
50.0,50,95.770197,0.0
50.0,50,96.901941,0.0
64.0,50,98.020628,0.0
50.0,50,99.139082,0.0
50.0,50,100.257329,0.0
50.0,50,101.38946,0.0
50.0,50,102.508094,0.0
50.0,50,103.626519,0.0
50.0,50,104.744529,0.0
50.0,50,105.876558,0.0
50.0,50,106.994813,0.0
50.0,50,108.113572,0.0
50.0,50,109.232035,0.0
50.0,50,110.364221,0.0
33.0,33,111.265545,0.0
50.0,50,112.383971,0.0
50.0,50,113.502848,0.0
50.0,50,114.63424,0.0
50.0,50,115.752717,0.0
