#{"t_start": 1642219136.7131505, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
66.0,50,241.612564,0.0
66.0,50,242.731297,0.0
67.0,50,243.849603,0.0
66.0,50,244.981723,0.0
65.0,50,246.099673,0.0
66.0,50,247.21842,0.0
67.0,50,248.336812,0.0
66.0,50,249.469079,0.0
65.0,50,250.58726,0.0
66.0,50,251.705913,0.0
68.0,50,252.837855,0.0
64.0,50,253.956318,0.0
67.0,50,255.074703,0.0
65.0,50,256.196423,0.0
66.0,50,257.325075,0.0
66.0,50,258.443697,0.0
67.0,50,259.561995,0.0
67.0,50,260.680211,0.0
66.0,50,261.812199,0.0
66.0,50,262.930698,0.0
65.0,50,264.049178,0.0
67.0,50,265.167922,0.0
66.0,50,266.299976,0.0
67.0,50,267.417897,0.0
68.0,50,268.536187,0.0
67.0,50,269.65459,0.0
66.0,50,270.787407,0.0
67.0,50,271.905052,0.0
66.0,50,273.023793,0.0
67.0,50,274.142549,0.0
66.0,50,275.275178,0.0
64.0,50,276.39277,0.0
66.0,50,277.511017,0.0
65.0,50,278.643254,0.0
67.0,50,279.761469,0.0
65.0,50,280.88016,0.0
64.0,50,281.999295,0.0
66.0,50,283.130342,0.0
69.0,50,284.248835,0.0
68.0,50,285.365906,0.0
64.0,50,286.486145,0.0
66.0,50,287.61793,0.0
66.0,50,288.736612,0.0
66.0,50,289.854445,0.0
82.0,50,290.972935,1.0
64.0,50,292.105436,0.0
84.0,50,293.223604,1.0
85.0,50,294.341883,1.0
69.0,50,295.460194,0.0
83.0,50,296.592361,1.0
84.0,50,297.710789,1.0
83.0,50,298.829623,1.0
85.0,50,299.961445,1.0
82.0,50,301.079712,1.0
82.0,50,302.198177,1.0
66.0,50,303.324094,0.0
81.0,50,304.448864,1.0
83.0,50,305.566937,1.0
83.0,50,306.685348,1.0
79.0,50,307.803649,0.0
85.0,50,308.935698,1.0
83.0,50,310.054733,1.0
84.0,50,311.17274,1.0
83.0,50,312.293698,1.0
85.0,50,313.423278,1.0
82.0,50,314.541952,1.0
85.0,50,315.66003,1.0
85.0,50,316.778374,1.0
83.0,50,317.911022,1.0
82.0,50,319.02925,1.0
83.0,50,320.147089,1.0
85.0,50,321.265768,1.0
80.0,50,322.398006,0.0
85.0,50,323.516658,1.0
85.0,50,324.635087,1.0
81.0,50,325.766753,1.0
85.0,50,326.885277,1.0
82.0,50,328.003469,1.0
83.0,50,329.121879,1.0
85.0,50,330.254477,1.0
77.0,48,331.456224,0.0
81.0,50,332.573966,1.0
78.0,50,333.692501,0.0
85.0,50,334.824616,1.0
85.0,50,335.942859,1.0
82.0,50,337.061684,1.0
85.0,50,338.179919,1.0
10.0,10,338.628782,0.0
82.0,50,339.747369,1.0
82.0,50,340.866046,1.0
82.0,50,341.998122,1.0
83.0,50,343.116825,1.0
84.0,50,344.234764,1.0
81.0,50,345.366925,1.0
83.0,50,346.485256,1.0
82.0,50,347.603842,1.0
83.0,50,348.722476,1.0
84.0,50,349.854028,1.0
85.0,50,350.97239,1.0
83.0,50,352.090717,1.0
81.0,50,353.209862,1.0
82.0,50,354.34138,1.0
84.0,50,355.459954,1.0
