#{"t_start": 1642220545.2205296, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
50.0,50,1.904818,0.0
50.0,50,3.0235,0.0
12.0,12,3.507113,0.0
24.0,24,4.239303,0.0
50.0,50,5.358016,0.0
50.0,50,6.475838,0.0
50.0,50,7.608753,0.0
50.0,50,8.726971,0.0
50.0,50,9.845034,0.0
50.0,50,10.963142,0.0
50.0,50,12.095513,0.0
50.0,50,13.213992,0.0
50.0,50,14.332541,0.0
50.0,50,15.450686,0.0
50.0,50,16.582834,0.0
50.0,50,17.701547,0.0
50.0,50,18.819909,0.0
50.0,50,19.937882,0.0
50.0,50,21.070327,0.0
50.0,50,22.188387,0.0
50.0,50,23.306852,0.0
50.0,50,24.425483,0.0
50.0,50,25.557241,0.0
50.0,50,26.676421,0.0
50.0,50,27.794795,0.0
50.0,50,28.926414,0.0
50.0,50,30.046041,0.0
50.0,50,31.162941,0.0
50.0,50,32.281871,0.0
50.0,50,33.413538,0.0
50.0,50,34.531852,0.0
50.0,50,35.650949,0.0
47.0,47,36.83444,0.0
50.0,50,37.952888,0.0
50.0,50,39.085211,0.0
50.0,50,40.203731,0.0
50.0,50,41.322289,0.0
50.0,50,42.440538,0.0
50.0,50,43.572683,0.0
50.0,50,44.690904,0.0
50.0,50,45.809272,0.0
17.0,17,46.393262,0.0
50.0,50,47.511508,0.0
50.0,50,48.643532,0.0
50.0,50,49.76204,0.0
50.0,50,50.880564,0.0
50.0,50,51.998869,0.0
50.0,50,53.131047,0.0
50.0,50,54.249481,0.0
50.0,50,55.368865,0.0
50.0,50,56.500445,0.0
50.0,50,57.618191,0.0
50.0,50,58.736472,0.0
50.0,50,59.854979,0.0
50.0,50,60.98729,0.0
50.0,50,62.106006,0.0
50.0,50,63.223842,0.0
50.0,50,64.342994,0.0
50.0,50,65.475476,0.0
50.0,50,66.593321,0.0
50.0,50,67.711514,0.0
50.0,50,68.835102,0.0
50.0,50,69.961837,0.0
50.0,50,71.080208,0.0
50.0,50,72.198402,0.0
50.0,50,73.317216,0.0
50.0,50,74.448951,0.0
50.0,50,75.568129,0.0
50.0,50,76.686482,0.0
50.0,50,77.81827,0.0
50.0,50,78.93682,0.0
50.0,50,80.054746,0.0
50.0,50,81.173169,0.0
50.0,50,82.305367,0.0
50.0,50,83.423927,0.0
50.0,50,84.542408,0.0
50.0,50,85.66121,0.0
50.0,50,86.793097,0.0
50.0,50,87.911146,0.0
50.0,50,89.029709,0.0
28.0,28,89.830415,0.0
50.0,50,90.962823,0.0
50.0,50,92.081398,0.0
50.0,50,93.200219,0.0
50.0,50,94.318081,0.0
50.0,50,95.450279,0.0
50.0,50,96.568841,0.0
50.0,50,97.686856,0.0
50.0,50,98.805501,0.0
50.0,50,99.937454,0.0
50.0,50,101.056078,0.0
50.0,50,102.174535,0.0
50.0,50,103.292805,0.0
50.0,50,104.424865,0.0
50.0,50,105.54323,0.0
50.0,50,106.661965,0.0
50.0,50,107.786283,0.0
50.0,50,108.912637,0.0
50.0,50,110.031389,0.0
50.0,50,111.149293,0.0
50.0,50,112.28121,0.0
50.0,50,113.399242,0.0
50.0,50,114.517739,0.0
50.0,50,115.636222,0.0
50.0,50,116.768131,0.0
50.0,50,117.887059,0.0
50.0,50,119.005664,0.0
50.0,50,120.123836,0.0
50.0,50,121.255728,0.0
50.0,50,122.373893,0.0
50.0,50,123.492281,0.0
50.0,50,124.610778,0.0
50.0,50,125.742905,0.0
50.0,50,126.861283,0.0
50.0,50,127.979997,0.0
50.0,50,129.098464,0.0
50.0,50,130.230725,0.0
50.0,50,131.34862,0.0
50.0,50,132.466961,0.0
50.0,50,133.599156,0.0
50.0,50,134.717539,0.0
50.0,50,135.835846,0.0
50.0,50,136.954192,0.0
50.0,50,138.086457,0.0
50.0,50,139.205158,0.0
50.0,50,140.323281,0.0
50.0,50,141.44166,0.0
50.0,50,142.57385,0.0
50.0,50,143.692393,0.0
50.0,50,144.810524,0.0
50.0,50,145.92889,0.0
50.0,50,147.06143,0.0
50.0,50,148.179243,0.0
50.0,50,149.298062,0.0
50.0,50,150.41642,0.0
50.0,50,151.548563,0.0
50.0,50,152.66683,0.0
50.0,50,153.785582,0.0
50.0,50,154.917507,0.0
50.0,50,156.036122,0.0
50.0,50,157.154487,0.0
50.0,50,158.272316,0.0
50.0,50,159.404543,0.0
50.0,50,160.522882,0.0
50.0,50,161.641569,0.0
50.0,50,162.759956,0.0
50.0,50,163.89174,0.0
50.0,50,165.010401,0.0
50.0,50,166.128716,0.0
63.0,50,167.247133,0.0
57.0,50,168.379243,0.0
50.0,50,169.497883,0.0
50.0,50,170.616225,0.0
50.0,50,171.734682,0.0
61.0,50,172.866685,0.0
50.0,50,173.984744,0.0
59.0,50,175.10356,0.0
50.0,50,176.221927,0.0
57.0,50,177.353993,0.0
50.0,50,178.472313,0.0
50.0,50,179.590613,0.0
60.0,50,180.722877,0.0
50.0,50,181.841013,0.0
58.0,50,182.959784,0.0
50.0,50,184.078147,0.0
52.0,50,185.210689,0.0
50.0,50,186.328247,0.0
50.0,50,187.446901,0.0
50.0,50,188.565223,0.0
50.0,50,189.697505,0.0
50.0,50,190.815771,0.0
62.0,50,191.934227,0.0
50.0,50,193.052466,0.0
54.0,50,194.184689,0.0
50.0,50,195.302932,0.0
50.0,50,196.421647,0.0
59.0,50,197.540516,0.0
50.0,50,198.672327,0.0
50.0,50,199.790962,0.0
58.0,50,200.908689,0.0
