#{"t_start": 1642219606.4830854, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
50.0,50,165.145654,0.0
50.0,50,166.264228,0.0
50.0,50,167.382326,0.0
50.0,50,168.521107,0.0
50.0,50,169.633166,0.0
50.0,50,170.751957,0.0
50.0,50,171.870342,0.0
50.0,50,173.002512,0.0
50.0,50,174.120734,0.0
53.0,50,175.239128,0.0
50.0,50,176.37095,0.0
65.0,50,177.489416,0.0
50.0,50,178.60769,0.0
50.0,50,179.725881,0.0
66.0,50,180.858031,0.0
50.0,50,181.976277,0.0
50.0,50,183.095174,0.0
50.0,50,184.213426,0.0
50.0,50,185.345719,0.0
50.0,50,186.464236,0.0
50.0,50,187.582462,0.0
50.0,50,188.700747,0.0
61.0,50,189.832805,0.0
50.0,50,190.951038,0.0
50.0,50,192.069374,0.0
50.0,50,193.188096,0.0
50.0,50,194.319933,0.0
50.0,50,195.438833,0.0
67.0,50,196.55692,0.0
65.0,50,197.689195,0.0
63.0,50,198.807479,0.0
63.0,50,199.92574,0.0
50.0,50,201.044183,0.0
50.0,50,202.176383,0.0
66.0,50,203.295245,0.0
50.0,50,204.412899,0.0
50.0,50,205.53171,0.0
50.0,50,206.663486,0.0
50.0,50,207.7821,0.0
61.0,50,208.900625,0.0
50.0,50,210.0188,0.0
66.0,50,211.151196,0.0
63.0,50,212.269388,0.0
63.0,50,213.38814,0.0
50.0,50,214.506276,0.0
59.0,50,215.638497,0.0
50.0,50,216.756665,0.0
65.0,50,217.875603,0.0
66.0,50,218.993927,0.0
67.0,50,220.125567,0.0
67.0,50,221.243904,0.0
50.0,50,222.362379,0.0
50.0,50,223.494576,0.0
67.0,50,224.612972,0.0
65.0,50,225.731288,0.0
50.0,50,232.01833,0.0
67.0,50,232.988318,0.0
64.0,50,234.120349,0.0
50.0,50,235.238977,0.0
50.0,50,236.357302,0.0
50.0,50,237.475642,0.0
67.0,50,238.630265,0.0
66.0,50,239.72614,0.0
50.0,50,240.844441,0.0
61.0,50,241.962883,0.0
50.0,50,243.095033,0.0
50.0,50,244.213593,0.0
58.0,50,245.332074,0.0
50.0,50,246.450399,0.0
50.0,50,247.573245,0.0
67.0,50,248.700706,0.0
50.0,50,249.819192,0.0
67.0,50,250.951354,0.0
66.0,50,252.069638,0.0
66.0,50,253.188489,0.0
66.0,50,254.306335,0.0
65.0,50,255.438567,0.0
67.0,50,256.556952,0.0
67.0,50,257.675649,0.0
66.0,50,258.79363,0.0
63.0,50,259.925634,0.0
66.0,50,261.044693,0.0
67.0,50,262.16265,0.0
67.0,50,263.281041,0.0
66.0,50,264.413215,0.0
66.0,50,265.537522,0.0
67.0,50,266.650225,0.0
66.0,50,267.768205,0.0
66.0,50,268.900315,0.0
64.0,50,270.019278,0.0
50.0,50,271.137264,0.0
66.0,50,272.256072,0.0
66.0,50,273.388724,0.0
66.0,50,274.506134,0.0
61.0,50,275.624624,0.0
67.0,50,276.756743,0.0
64.0,50,277.875447,0.0
67.0,50,278.993494,0.0
67.0,50,280.112152,0.0
63.0,50,281.243959,0.0
67.0,50,282.362476,0.0
67.0,50,283.480461,0.0
68.0,50,284.599439,0.0
67.0,50,285.731443,0.0
52.0,50,286.849772,0.0
67.0,50,287.968645,0.0
67.0,50,289.086425,0.0
67.0,50,290.218729,0.0
50.0,50,291.337409,0.0
67.0,50,292.45512,0.0
66.0,50,293.573979,0.0
67.0,50,294.706029,0.0
66.0,50,295.824507,0.0
67.0,50,296.94274,0.0
68.0,50,298.075022,0.0
67.0,50,299.193484,0.0
67.0,50,300.31155,0.0
67.0,50,301.430249,0.0
67.0,50,302.562096,0.0
67.0,50,303.680368,0.0
67.0,50,304.79919,0.0
50.0,50,305.917038,0.0
67.0,50,307.049392,0.0
68.0,50,308.168068,0.0
65.0,50,309.286421,0.0
67.0,50,310.404685,0.0
68.0,50,311.537462,0.0
67.0,50,312.655072,0.0
50.0,50,313.77351,0.0
67.0,50,314.891643,0.0
66.0,50,316.024101,0.0
65.0,50,317.142299,0.0
66.0,50,318.260594,0.0
66.0,50,319.379696,0.0
67.0,50,320.511578,0.0
67.0,50,321.629783,0.0
67.0,50,322.748164,0.0
68.0,50,323.880403,0.0
71.0,50,324.9986,0.0
68.0,50,326.116992,0.0
68.0,50,327.235655,0.0
64.0,50,328.367444,0.0
69.0,50,329.485795,0.0
82.0,50,330.604683,1.0
85.0,50,331.723332,1.0
71.0,50,332.854804,0.0
83.0,50,333.973407,1.0
84.0,50,335.091633,1.0
80.0,50,336.210508,0.0
83.0,50,337.34231,1.0
81.0,50,338.46087,1.0
81.0,50,339.579264,1.0
82.0,50,340.697455,1.0
82.0,50,341.829456,1.0
80.0,50,342.947975,0.0
81.0,50,344.06646,1.0
78.0,50,345.184781,0.0
81.0,50,346.31678,1.0
82.0,50,347.435575,1.0
81.0,50,348.553494,1.0
82.0,50,349.685815,1.0
84.0,50,350.803991,1.0
84.0,50,351.922351,1.0
84.0,50,353.040969,1.0
85.0,50,354.172863,1.0
83.0,50,355.29129,1.0
85.0,50,356.409928,1.0
82.0,50,357.52827,1.0
85.0,50,358.660492,1.0
85.0,50,359.778699,1.0
84.0,50,360.896972,1.0
84.0,50,362.015686,1.0
85.0,50,363.14761,1.0
81.0,50,364.266693,1.0
80.0,50,365.384602,0.0
83.0,50,366.503086,1.0
82.0,50,367.635114,1.0
83.0,50,368.753555,1.0
84.0,50,369.871863,1.0
84.0,50,371.003986,1.0
81.0,50,372.122253,1.0
85.0,50,373.240658,1.0
83.0,50,374.359343,1.0
84.0,50,375.491153,1.0
85.0,50,376.609685,1.0
84.0,50,377.727985,1.0
84.0,50,378.846553,1.0
83.0,50,379.978807,1.0
84.0,50,381.097198,1.0
81.0,50,382.215727,1.0
83.0,50,383.333602,1.0
85.0,50,384.465725,1.0
85.0,50,385.584068,1.0
84.0,50,386.702699,1.0
82.0,50,387.820843,1.0
81.0,50,388.953257,1.0
84.0,50,390.072145,1.0
84.0,50,391.190601,1.0
80.0,50,392.308399,0.0
83.0,50,393.440505,1.0
72.0,50,394.559476,0.0
82.0,50,395.677885,1.0
82.0,50,396.809287,1.0
84.0,50,397.927645,1.0
83.0,50,399.046,1.0
81.0,50,400.16481,1.0
84.0,50,401.296445,1.0
82.0,50,402.41501,1.0
83.0,50,403.539981,1.0
83.0,50,404.652031,1.0
83.0,50,405.784142,1.0
85.0,50,406.902379,1.0
85.0,50,408.020779,1.0
81.0,50,409.139207,1.0
84.0,50,410.271882,1.0
82.0,50,411.389766,1.0
85.0,50,412.507958,1.0
83.0,50,413.627525,1.0
83.0,50,414.759077,1.0
81.0,50,415.880008,1.0
81.0,50,416.995462,1.0
81.0,50,418.127609,1.0
80.0,50,419.245829,0.0
85.0,50,420.364299,1.0
83.0,50,421.482626,1.0
85.0,50,422.614796,1.0
84.0,50,423.73297,1.0
81.0,50,424.851522,1.0
82.0,50,425.970108,1.0
81.0,50,427.101923,1.0
85.0,50,428.220716,1.0
83.0,50,429.338995,1.0
80.0,50,430.457212,0.0
82.0,50,431.589505,1.0
82.0,50,432.708531,1.0
86.0,50,433.826706,1.0
82.0,50,434.944484,1.0
82.0,50,436.076696,1.0
84.0,50,437.195025,1.0
83.0,50,438.313762,1.0
82.0,50,439.431961,1.0
83.0,50,440.564541,1.0
82.0,50,441.682955,1.0
85.0,50,442.800765,1.0
81.0,50,443.933035,1.0
81.0,50,445.05124,1.0
84.0,50,446.169986,1.0
82.0,50,447.287894,1.0
85.0,50,448.420203,1.0
80.0,50,449.539136,0.0
85.0,50,450.657173,1.0
82.0,50,451.775746,1.0
82.0,50,452.908106,1.0
81.0,50,454.026023,1.0
82.0,50,455.144442,1.0
