#{"t_start": 1642219606.4830854, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
50.0,50,1.889062,0.0
50.0,50,3.00749,0.0
50.0,50,4.125835,0.0
50.0,50,5.244568,0.0
50.0,50,6.375772,0.0
50.0,50,7.494361,0.0
50.0,50,8.612779,0.0
50.0,50,9.745066,0.0
50.0,50,10.863307,0.0
50.0,50,11.981786,0.0
50.0,50,13.1003,0.0
50.0,50,14.232343,0.0
50.0,50,15.350575,0.0
50.0,50,16.469588,0.0
46.0,46,17.63587,0.0
12.0,12,18.119871,0.0
50.0,50,19.238155,0.0
50.0,50,20.357057,0.0
50.0,50,21.488907,0.0
50.0,50,22.607234,0.0
50.0,50,23.725283,0.0
50.0,50,24.844141,0.0
50.0,50,25.97618,0.0
50.0,50,27.094181,0.0
50.0,50,28.212963,0.0
50.0,50,29.331511,0.0
50.0,50,30.463445,0.0
50.0,50,31.58078,0.0
50.0,50,32.700342,0.0
50.0,50,33.83262,0.0
50.0,50,34.950768,0.0
50.0,50,36.069023,0.0
49.0,49,37.288115,0.0
50.0,50,38.42051,0.0
50.0,50,39.538647,0.0
50.0,50,40.656964,0.0
50.0,50,41.775327,0.0
50.0,50,42.907376,0.0
50.0,50,44.025636,0.0
50.0,50,45.144125,0.0
50.0,50,46.276342,0.0
50.0,50,47.394552,0.0
50.0,50,48.512917,0.0
50.0,50,49.631388,0.0
50.0,50,50.763765,0.0
50.0,50,51.882313,0.0
50.0,50,53.00088,0.0
47.0,47,54.184761,0.0
50.0,50,55.303586,0.0
50.0,50,56.435309,0.0
50.0,50,57.553694,0.0
50.0,50,58.672094,0.0
50.0,50,59.790558,0.0
50.0,50,60.922611,0.0
50.0,50,62.040851,0.0
50.0,50,63.159246,0.0
50.0,50,64.277533,0.0
50.0,50,65.409639,0.0
50.0,50,66.528113,0.0
50.0,50,67.646633,0.0
50.0,50,68.765063,0.0
50.0,50,69.897152,0.0
50.0,50,71.015605,0.0
50.0,50,72.133983,0.0
50.0,50,73.266122,0.0
38.0,38,74.267478,0.0
50.0,50,75.386071,0.0
50.0,50,76.50434,0.0
50.0,50,77.636479,0.0
50.0,50,78.754778,0.0
50.0,50,79.873109,0.0
50.0,50,80.991556,0.0
50.0,50,82.123699,0.0
50.0,50,83.242221,0.0
50.0,50,84.360327,0.0
50.0,50,85.478782,0.0
50.0,50,86.610842,0.0
50.0,50,87.729522,0.0
50.0,50,88.84789,0.0
50.0,50,89.966295,0.0
50.0,50,91.098386,0.0
50.0,50,92.216731,0.0
50.0,50,93.335003,0.0
50.0,50,94.453297,0.0
50.0,50,95.585207,0.0
50.0,50,96.70384,0.0
50.0,50,97.822355,0.0
50.0,50,98.941268,0.0
50.0,50,100.072979,0.0
50.0,50,101.191282,0.0
63.0,50,102.309669,0.0
50.0,50,103.442015,0.0
50.0,50,104.560094,0.0
50.0,50,105.678409,0.0
50.0,50,106.79688,0.0
50.0,50,107.929052,0.0
50.0,50,109.047283,0.0
50.0,50,110.166175,0.0
50.0,50,111.284845,0.0
50.0,50,112.416218,0.0
50.0,50,113.535195,0.0
50.0,50,114.653665,0.0
50.0,50,115.771897,0.0
50.0,50,116.903925,0.0
50.0,50,118.02213,0.0
56.0,50,119.140461,0.0
50.0,50,120.258806,0.0
50.0,50,121.391477,0.0
50.0,50,122.509483,0.0
50.0,50,123.627921,0.0
50.0,50,124.746301,0.0
62.0,50,125.878398,0.0
50.0,50,126.99678,0.0
50.0,50,128.115149,0.0
50.0,50,129.247303,0.0
50.0,50,130.365642,0.0
50.0,50,131.483869,0.0
66.0,50,132.602275,0.0
50.0,50,133.7346,0.0
50.0,50,134.853394,0.0
50.0,50,135.971701,0.0
50.0,50,137.09064,0.0
50.0,50,138.222031,0.0
50.0,50,139.34063,0.0
50.0,50,140.458925,0.0
50.0,50,141.577118,0.0
50.0,50,142.709279,0.0
50.0,50,143.827381,0.0
50.0,50,144.945696,0.0
50.0,50,146.064673,0.0
50.0,50,147.19628,0.0
50.0,50,148.315059,0.0
50.0,50,149.433317,0.0
50.0,50,150.565547,0.0
50.0,50,151.683734,0.0
50.0,50,152.80233,0.0
50.0,50,153.920491,0.0
50.0,50,155.052704,0.0
50.0,50,156.170998,0.0
50.0,50,157.28929,0.0
50.0,50,158.408144,0.0
50.0,50,159.540264,0.0
50.0,50,160.658618,0.0
50.0,50,161.776798,0.0
50.0,50,162.89526,0.0
50.0,50,164.027417,0.0
